targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
NAVSTAR-68 (spacecraft) (-139166,2025-09-30 23:58:50.818,69.18236464262009,14797603.000863252,-12375846.096028874,17732159.94639646,732.6565210876877,3419.6055000397173,1785.099358766334,0.0874014389613857,26202292.218970787,6.6679779699470805
NAVSTAR-68 (spacecraft) (-139166,2025-09-30 23:59:50.818,69.18236464262009,14840971.988953374,-12170179.028795168,17838556.7584706,712.9578650200829,3435.9195589086225,1761.4534964390039,0.08740281999294951,26202706.241817877,7.137419910672292
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:00:50.818,69.18236464262009,14883157.37698447,-11963541.360438745,17943530.630547214,693.203365583536,3451.9587598253556,1737.6683515503262,0.08740429492531661,26203148.415417597,7.606287425907284
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:01:50.818,69.18236464262009,14924155.863685789,-11755949.621587353,18047073.265360463,673.3946673137743,3467.7218016028987,1713.7459122132984,0.0874058636397796,26203618.70418235,8.074541526335832
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:02:50.818,69.18236464262009,14963964.24659376,-11547420.420188824,18149176.48528684,653.5334192258141,3483.2074080147486,1689.6881783704048,0.0874075260098308,26204117.070186123,8.542143279796663
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:03:50.818,69.18236464262009,15002579.42231564,-11337970.440009734,18249832.23304865,633.6212746440289,3498.4143279139967,1665.4971615846935,0.08740928190117432,26204643.473167975,9.009053815275138
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:04:50.818,69.18236464262009,15039998.386782726,-11127616.439127231,18349032.57240488,613.6598910318476,3513.341335349208,1641.1748848295906,0.08741113117173835,26205197.87053586,9.475234326902221
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:05:50.818,69.18236464262009,15076218.235493775,-10916375.248413933,18446769.68882932,593.6509298210314,3527.987229676977,1616.7233822774538,0.0874130736716885,26205780.217370585,9.940646077927328
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:06:50.818,69.18236464262009,15111236.163747774,-10704263.770016143,18543035.890176166,573.5960562406316,3542.3508356712864,1592.1446990869106,0.08741510924344244,26206390.466430146,10.405250404690058
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:07:50.818,69.18236464262009,15145049.46686662,-10491298.975825503,18637823.60733257,553.4969391456249,3556.4310036295483,1567.4408911889927,0.08741723772168392,26207028.568153944,10.869008720574778
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:08:50.818,69.18236464262009,15177655.54040747,-10277497.905944902,18731125.394858487,533.3552508452797,3570.2266094753313,1542.6140250722065,0.08741945893337943,26207694.470667887,11.33188251996144
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:09:50.818,69.18236464262009,15209051.880364796,-10062877.66714741,18822933.931613654,513.1726669312181,3583.7365548578487,1517.6661775663774,0.08742177269779398,26208388.11978896,11.793833382160098
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:10:50.818,69.18236464262009,15239236.083362142,-9847455.431330405,18913242.021371298,492.9508661053006,3596.959767248041,1492.5994356255699,0.08742417882650888,26209109.45903067,12.25482297532963
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:11:50.818,69.18236464262009,15268205.846833486,-9631248.433963062,19002042.593419157,472.69153000725606,3609.895200031409,1467.4158961098442,0.08742667712343967,26209858.429608345,12.714813060390282
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:12:50.818,69.18236464262009,15295958.969194323,-9414273.972529015,19089328.703147054,452.3963430421762,3622.5418325974606,1442.1176655661195,0.0874292673848548,26210634.97044486,13.173765494920573
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:13:50.818,69.18236464262009,15322493.350002363,-9196549.404963711,19175093.53262145,432.0669922078731,3634.898670425817,1416.7068600080497,0.08743194939939586,26211439.018176515,13.631642237030366
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:14:50.818,69.18236464262009,15347806.99010778,-8978092.148086198,19259330.391146842,411.70516692207735,3646.964745169004,1391.1856046949533,0.08743472294809718,26212270.507159058,14.08840534923432
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:15:50.818,69.18236464262009,15371897.99179335,-8758919.676026687,19342032.715813603,391.3125588495825,3658.7391147318185,1365.5560339099327,0.08743758780440773,26213129.369474214,14.54401700229547
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:16:50.818,69.18236464262009,15394764.55890389,-8539049.518649142,19423194.07203279,370.8908617293473,3670.220863347383,1339.8202907371037,0.08744054373421284,26214015.53493617,14.998439479061924
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:17:50.818,69.18236464262009,15416404.996965531,-8318499.259969203,19502808.15405738,350.44177120149806,3681.4091016497987,1313.9805268380276,0.08744359049585694,26214928.93109839,15.45163517827717
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:18:50.818,69.18236464262009,15436817.713294627,-8097286.536568487,19580868.78549007,329.9669846344356,3692.302966743411,1288.0389022274262,0.08744672784016697,26215869.4832607,15.90356661838293
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:19:50.818,69.18236464262009,15456001.217096113,-7875429.036004069,19657369.91977776,309.4682009518653,3702.9016222687283,1261.99758504811,0.08744995551047707,26216837.11447657,16.354196441300882
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:20:50.818,69.18236464262009,15473954.119551692,-7652944.495214649,19732305.64069228,288.94712045995186,3713.204258464925,1235.85875134526,0.08745327324265299,26217831.745560568,16.80348741618257
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:21:50.818,69.18236464262009,15490675.133897476,-7429850.698923036,19805670.162797716,268.4054446745417,3723.210092228945,1209.6245848400838,0.08745668076511817,26218853.295096118,17.2514024431615
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:22:50.818,69.18236464262009,15506163.075491522,-7206165.478034676,19877457.831904188,247.8448761484521,3732.9183671712726,1183.297276702791,0.0874601777988808,26219901.6794435,17.697904557067453
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:23:50.818,69.18236464262009,15520416.861870607,-6981906.708033807,19947663.125507742,227.267118298997,3742.328353668229,1156.8790253250925,0.08746376405755998,26220976.812747955,18.142956931130573
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:24:50.818,69.18236464262009,15533435.512797078,-6757092.307375841,20016280.65321684,206.67387523558978,3751.439348910952,1130.3720360921016,0.08746743924741464,26222078.606948104,18.586522880653504
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 00:25:50.818,69.18236464262009,15545218.150295125,-6531740.235877047,20083305.157165073,186.0668515875653,3760.250676950939,1103.7785211537491,0.08747120306737201,26223206.971784607,19.028565866674843
